exp_name,mode,ring_type,fold,task,input_type,dataset_task,method_name,epochs,lr,criterion,batch_size,sample_len,mae_with_std,rmse_with_std,mape_with_std,pearson_with_std
transformer-ring1-rr-stationary-ir,test,ring1,Fold-1,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",transformer,200,0.001,mse,128,168,2.34±0.16,3.14±1.13,15.06±1.47,-0.34±0.07
transformer-ring1-rr-stationary-ir,test,ring1,Fold-2,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",transformer,200,0.001,mse,128,72,3.62±0.28,4.30±1.59,19.69±2.55,0.13±0.12
transformer-ring1-rr-stationary-ir,test,ring1,Fold-3,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",transformer,200,0.001,mse,128,94,2.51±0.18,3.04±1.23,15.92±1.14,0.02±0.10
transformer-ring1-rr-stationary-ir,test,ring1,Fold-4,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",transformer,200,0.001,mse,128,54,2.47±0.21,2.90±1.17,12.88±0.93,-0.02±0.14
transformer-ring1-rr-stationary-ir,test,ring1,Fold-5,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",transformer,200,0.001,mse,128,87,4.81±0.28,5.47±1.88,35.34±2.75,-0.08±0.11
transformer-ring1-rr-stationary-ir,test,ring1,all-folds,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",transformer,200,0.001,mse,128,475,3.04±0.11,3.82±1.00,19.40±0.93,-0.24±0.04
