exp_name,mode,ring_type,fold,task,input_type,dataset_task,method_name,epochs,lr,criterion,batch_size,sample_len,mae_with_std,rmse_with_std,mape_with_std,pearson_with_std
resnet-ring2-hr-motion-ir,test,ring2,Fold-1,hr,['ir-filtered'],"['deepsquat', 'striding']",resnet,200,0.001,mse,128,8,13.73±2.08,14.79±8.47,16.36±2.30,-0.25±0.40
resnet-ring2-hr-motion-ir,test,ring2,Fold-2,hr,['ir-filtered'],"['deepsquat', 'striding']",resnet,200,0.001,mse,128,10,25.35±6.06,31.19±17.49,23.73±4.91,0.07±0.35
resnet-ring2-hr-motion-ir,test,ring2,Fold-3,hr,['ir-filtered'],"['deepsquat', 'striding']",resnet,200,0.001,mse,128,10,20.85±3.30,23.08±12.10,40.03±8.89,0.17±0.35
resnet-ring2-hr-motion-ir,test,ring2,Fold-4,hr,['ir-filtered'],"['deepsquat', 'striding']",resnet,200,0.001,mse,128,6,36.73±5.19,38.52±19.59,31.92±3.51,0.01±0.50
resnet-ring2-hr-motion-ir,test,ring2,Fold-5,hr,['ir-filtered'],"['deepsquat', 'striding']",resnet,200,0.001,mse,128,8,37.65±1.50,37.86±10.72,44.17±1.04,0.49±0.36
resnet-ring2-hr-motion-ir,test,ring2,all-folds,hr,['ir-filtered'],"['deepsquat', 'striding']",resnet,200,0.001,mse,128,42,26.04±2.25,29.75±11.00,31.27±2.90,-0.01±0.16
