exp_name,mode,ring_type,fold,task,input_type,dataset_task,method_name,epochs,lr,criterion,batch_size,sample_len,mae_with_std,rmse_with_std,mape_with_std,pearson_with_std
transformer-ring2-hr-all-ir,5fold,ring2,Fold-4,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,34,32.67±1.14,33.33±9.55,31.24±0.67,0.07±0.18
transformer-ring2-hr-all-ir,5fold,ring2,Fold-1,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,115,6.52±0.40,7.80±2.60,7.60±0.43,-0.31±0.09
transformer-ring2-hr-all-ir,5fold,ring2,Fold-2,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,81,11.32±1.11,15.06±6.84,12.49±0.99,-0.10±0.11
transformer-ring2-hr-all-ir,5fold,ring2,Fold-3,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,104,8.80±0.64,10.94±4.45,12.66±1.30,0.19±0.10
transformer-ring2-hr-all-ir,5fold,ring2,Fold-4,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,34,32.67±1.14,33.33±9.55,31.24±0.67,0.07±0.18
transformer-ring2-hr-all-ir,5fold,ring2,Fold-5,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,95,13.23±0.60,14.44±3.82,19.70±1.01,-0.23±0.10
transformer-ring2-hr-all-ir,5fold,ring2,all-folds,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,429,11.54±0.46,14.91±4.27,14.30±0.55,-0.61±0.04
transformer-ring2-hr-all-ir,test,ring2,Fold-1,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,115,6.52±0.40,7.80±2.60,7.60±0.43,-0.31±0.09
transformer-ring2-hr-all-ir,test,ring2,Fold-2,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,81,11.32±1.11,15.06±6.84,12.49±0.99,-0.10±0.11
transformer-ring2-hr-all-ir,test,ring2,Fold-3,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,104,8.80±0.64,10.94±4.45,12.66±1.30,0.19±0.10
transformer-ring2-hr-all-ir,test,ring2,Fold-4,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,34,32.67±1.14,33.33±9.55,31.24±0.67,0.07±0.18
transformer-ring2-hr-all-ir,test,ring2,Fold-5,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,95,13.23±0.60,14.44±3.82,19.70±1.01,-0.23±0.10
transformer-ring2-hr-all-ir,test,ring2,all-folds,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,429,11.54±0.46,14.91±4.27,14.30±0.55,-0.61±0.04
