task          , ring_type, method_name   , mode , scene     , mae               , rmse              , mape              , pearson
oura_hr       , ring1    , peak          , test , motion    , 23.52             , 32.9              , 42.74             , 0.08
oura_hr       , ring1    , peak          , test , stationary, 19.1              , 27.39             , 24.83             , 0.33
oura_hr       , ring1    , peak          , test , unknown   , 19.82             , 28.37             , 27.78             , 0.26
oura_hr       , ring1    , resnet        , test , all       ,  5.86             , 10.94             ,  8.32             , 0.72
oura_hr       , ring1    , resnet        , test , motion    , 19.54             , 25.18             , 30.45             , 0.01
oura_hr       , ring1    , resnet        , test , stationary,  3.16             ,  4.28             ,  3.96             , 0.95
oura_hr       , ring1    , transformer   , test , all       ,  8.0              , 12.41             , 10.66             , 0.63
oura_hr       , ring1    , transformer   , test , motion    , 19.69             , 25.23             , 29.53             , 0.04
oura_hr       , ring1    , transformer   , test , stationary,  5.7              ,  7.69             ,  6.95             , 0.85
oura_hr       , ring2    , fft           , test , motion    , 42.02             , 47.57             , 45.3              , 0.16
oura_hr       , ring2    , fft           , test , stationary, 12.67             , 22.42             , 14.94             , 0.28
oura_hr       , ring2    , fft           , test , unknown   , 17.62             , 28.28             , 20.06             , 0.09
oura_hr       , ring2    , inception_time, test , all       , 10.74             , 13.76             , 13.92             , 0.34
oura_hr       , ring2    , inception_time, test , motion    , 17.52             , 22.87             , 22.8              , 0.01
oura_hr       , ring2    , inception_time, test , stationary,  9.36             , 11.03             , 12.12             , 0.45
oura_hr       , ring2    , peak          , test , motion    , 25.39             , 30.8              , 36.29             , 0.16
oura_hr       , ring2    , peak          , test , stationary, 13.79             , 18.83             , 18.77             , 0.4
oura_hr       , ring2    , peak          , test , unknown   , 15.75             , 21.33             , 21.73             , 0.27
oura_hr       , ring2    , resnet        , test , all       ,  7.55             , 11.55             , 10.22             , 0.62
oura_hr       , ring2    , resnet        , test , motion    , 15.48             , 21.13             , 21.06             , 0.3
oura_hr       , ring2    , resnet        , test , stationary,  5.93             ,  8.35             ,  8.01             , 0.75
oura_hr       , ring2    , transformer   , test , all       , 10.37             , 13.64             , 13.23             , 0.39
oura_hr       , ring2    , transformer   , test , motion    , 17.03             , 23.18             , 21.7              , 0.15
oura_hr       , ring2    , transformer   , test , stationary,  9.01             , 10.72             , 11.51             , 0.54
oura_hr_com   , ring1    , fft           , test , motion    , 42.95             , 48.17             , 66.46             , 0.18
oura_hr_com   , ring1    , fft           , test , stationary,  3.62             ,  4.91             ,  4.47             , 0.93
oura_hr_com   , ring1    , fft           , test , unknown   , 10.09             , 20.05             , 14.67             , 0.47
oura_hr_com   , ring1    , peak          , test , motion    , 42.95             , 48.17             , 66.46             , 0.18
oura_hr_com   , ring1    , peak          , test , stationary,  3.62             ,  4.91             ,  4.47             , 0.93
oura_hr_com   , ring1    , peak          , test , unknown   , 10.09             , 20.05             , 14.67             , 0.47
oura_hr_com   , ring2    , fft           , test , motion    , 44.8              , 49.64             , 62.36             , 0.0
oura_hr_com   , ring2    , fft           , test , stationary,  3.6              ,  4.91             ,  4.64             , 0.93
oura_hr_com   , ring2    , fft           , test , unknown   , 10.56             , 20.88             , 14.38             , 0.49
oura_hr_com   , ring2    , peak          , test , motion    , 44.8              , 49.64             , 62.36             , 0.0
oura_hr_com   , ring2    , peak          , test , stationary,  3.6              ,  4.91             ,  4.64             , 0.93
oura_hr_com   , ring2    , peak          , test , unknown   , 10.56             , 20.88             , 14.38             , 0.49
resp_rr       , ring1    , fft           , test , motion    ,  6.54             ,  7.64             , 33.0              , 0.04
resp_rr       , ring1    , fft           , test , stationary,  4.58             ,  5.56             , 26.08             , 0.27
resp_rr       , ring1    , fft           , test , unknown   ,  4.83             ,  5.97             , 26.35             , 0.33
