exp_name,mode,ring_type,fold,task,input_type,dataset_task,method_name,epochs,lr,criterion,batch_size,sample_len,mae_with_std,rmse_with_std,mape_with_std,pearson_with_std
inception-time-ring1-hr-motion-ir,test,ring1,Fold-1,hr,['ir-filtered'],"['deepsquat', 'striding']",inception_time,200,0.001,mse,128,22,15.84±2.19,18.75±8.69,18.57±2.43,-0.68±0.16
inception-time-ring1-hr-motion-ir,test,ring1,Fold-2,hr,['ir-filtered'],"['deepsquat', 'striding']",inception_time,200,0.001,mse,128,10,24.54±5.83,30.14±16.18,23.45±5.15,0.02±0.35
inception-time-ring1-hr-motion-ir,test,ring1,Fold-3,hr,['ir-filtered'],"['deepsquat', 'striding']",inception_time,200,0.001,mse,128,10,20.73±3.72,23.55±12.52,40.19±9.48,-0.42±0.32
inception-time-ring1-hr-motion-ir,test,ring1,Fold-4,hr,['ir-filtered'],"['deepsquat', 'striding']",inception_time,200,0.001,mse,128,7,33.08±4.25,34.69±17.13,29.04±2.67,-0.22±0.44
inception-time-ring1-hr-motion-ir,test,ring1,Fold-5,hr,['ir-filtered'],"['deepsquat', 'striding']",inception_time,200,0.001,mse,128,8,22.86±1.67,23.28±8.49,26.67±1.50,0.23±0.40
inception-time-ring1-hr-motion-ir,test,ring1,all-folds,hr,['ir-filtered'],"['deepsquat', 'striding']",inception_time,200,0.001,mse,128,57,21.33±1.70,24.82±8.88,25.64±2.31,-0.08±0.13
