exp_name,mode,ring_type,fold,task,input_type,dataset_task,method_name,epochs,lr,criterion,batch_size,sample_len,mae_with_std,rmse_with_std,mape_with_std,pearson_with_std
inception-time-ring2-oura_hr-stationary-ir,test,ring2,Fold-1,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",inception_time,200,0.001,mse,128,13,12.44±1.75,13.84±6.33,14.12±1.88,-0.18±0.30
inception-time-ring2-oura_hr-stationary-ir,test,ring2,Fold-2,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",inception_time,200,0.001,mse,128,20,7.10±1.09,8.55±4.28,9.01±1.54,0.13±0.23
