exp_name,mode,ring_type,fold,task,input_type,dataset_task,method_name,epochs,lr,criterion,batch_size,sample_len,mae_with_std,rmse_with_std,mape_with_std,pearson_with_std
resnet-ring1-rr-stationary-ir,test,ring1,Fold-1,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",resnet,200,0.001,mse,128,168,2.81±0.19,3.75±1.41,19.56±1.99,0.15±0.08
resnet-ring1-rr-stationary-ir,test,ring1,Fold-2,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",resnet,200,0.001,mse,128,72,4.31±0.30,4.99±1.74,22.75±2.38,0.13±0.12
resnet-ring1-rr-stationary-ir,test,ring1,Fold-3,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",resnet,200,0.001,mse,128,94,1.92±0.19,2.63±1.26,11.78±1.02,0.17±0.10
resnet-ring1-rr-stationary-ir,test,ring1,Fold-4,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",resnet,200,0.001,mse,128,54,3.22±0.24,3.65±1.30,16.94±1.09,0.03±0.14
resnet-ring1-rr-stationary-ir,test,ring1,Fold-5,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",resnet,200,0.001,mse,128,87,4.56±0.29,5.27±1.88,33.52±2.69,0.43±0.10
resnet-ring1-rr-stationary-ir,test,ring1,all-folds,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",resnet,200,0.001,mse,128,475,3.23±0.12,4.09±1.08,20.76±1.01,-0.03±0.05
