exp_name,mode,ring_type,fold,task,input_type,dataset_task,method_name,epochs,lr,criterion,batch_size,sample_len,mae_with_std,rmse_with_std,mape_with_std,pearson_with_std
resnet-ring2-hr-all-ir,5fold,ring2,Fold-1,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,115,16.77±0.90,19.34±5.78,19.86±1.03,-0.20±0.09
resnet-ring2-hr-all-ir,5fold,ring2,Fold-2,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,81,12.53±1.24,16.72±7.31,13.77±1.13,-0.18±0.11
resnet-ring2-hr-all-ir,5fold,ring2,Fold-3,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,104,8.94±0.71,11.50±4.64,12.78±1.35,0.02±0.10
resnet-ring2-hr-all-ir,5fold,ring2,Fold-4,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,34,25.51±1.59,27.09±9.93,24.25±1.25,-0.19±0.17
resnet-ring2-hr-all-ir,5fold,ring2,Fold-5,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,95,23.83±0.83,25.14±6.83,32.97±0.74,0.10±0.10
resnet-ring2-hr-all-ir,5fold,ring2,all-folds,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,429,16.33±0.52,19.58±4.65,20.24±0.63,0.32±0.05
resnet-ring2-hr-all-ir,test,ring2,Fold-1,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,115,16.77±0.90,19.34±5.78,19.86±1.03,-0.20±0.09
resnet-ring2-hr-all-ir,test,ring2,Fold-2,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,81,12.53±1.24,16.72±7.31,13.77±1.13,-0.18±0.11
resnet-ring2-hr-all-ir,test,ring2,Fold-3,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,104,8.94±0.71,11.50±4.64,12.78±1.35,0.02±0.10
resnet-ring2-hr-all-ir,test,ring2,Fold-4,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,34,25.51±1.59,27.09±9.93,24.25±1.25,-0.19±0.17
resnet-ring2-hr-all-ir,test,ring2,Fold-5,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,95,23.83±0.83,25.14±6.83,32.97±0.74,0.10±0.10
resnet-ring2-hr-all-ir,test,ring2,all-folds,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,429,16.33±0.52,19.58±4.65,20.24±0.63,0.32±0.05
