exp_name,mode,ring_type,fold,task,input_type,dataset_task,method_name,epochs,lr,criterion,batch_size,sample_len,mae_with_std,rmse_with_std,mape_with_std,pearson_with_std
inceptiontime-ring2-spo2-spo2-irred,5fold,ring2,Fold-1,spo2,"['ir-filtered', 'red-filtered']",['spo2'],inception_time,200,0.001,mse,128,22,3.81±0.61,4.71±2.40,4.23±0.69,-0.05±0.22
inceptiontime-ring2-spo2-spo2-irred,5fold,ring2,Fold-2,spo2,"['ir-filtered', 'red-filtered']",['spo2'],inception_time,200,0.001,mse,128,33,4.63±0.74,6.24±3.39,5.23±0.90,-0.03±0.18
inceptiontime-ring2-spo2-spo2-irred,5fold,ring2,Fold-1,spo2,"['ir-filtered', 'red-filtered']",['spo2'],inception_time,200,0.001,mse,128,22,3.81±0.61,4.71±2.40,4.23±0.69,-0.05±0.22
inceptiontime-ring2-spo2-spo2-irred,5fold,ring2,Fold-2,spo2,"['ir-filtered', 'red-filtered']",['spo2'],inception_time,200,0.001,mse,128,33,4.63±0.74,6.24±3.39,5.23±0.90,-0.03±0.18
